epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6249.64,0.74104,0.34074,0.91598,0.98129,0.92729,0.96566,0.7039,1.09205,0.42966,1.08265,0.004555,0.004555,0.004555
57,6362.21,0.73015,0.33999,0.9125,0.97984,0.92927,0.96516,0.70036,1.09635,0.43677,1.08622,0.004456,0.004456,0.004456
58,6479.03,0.7297,0.33886,0.91211,0.98321,0.92848,0.96443,0.69987,1.09526,0.43291,1.08303,0.004357,0.004357,0.004357
59,6588,0.71684,0.33433,0.90719,0.9833,0.92683,0.96431,0.70143,1.09881,0.43466,1.08685,0.004258,0.004258,0.004258
60,6697.85,0.70466,0.32809,0.90463,0.98617,0.92591,0.96351,0.69735,1.10582,0.43166,1.09446,0.004159,0.004159,0.004159
61,6806.34,0.69714,0.32896,0.89976,0.98288,0.92794,0.96588,0.69678,1.10849,0.43054,1.09799,0.00406,0.00406,0.00406
62,6916.09,0.68987,0.32428,0.89767,0.984,0.92896,0.96446,0.69841,1.10384,0.42911,1.09405,0.003961,0.003961,0.003961
63,7027.81,0.6805,0.32159,0.89685,0.98356,0.93038,0.96601,0.69856,1.10346,0.42907,1.09167,0.003862,0.003862,0.003862
64,7145.98,0.6696,0.31667,0.89139,0.98422,0.92591,0.96495,0.69831,1.11022,0.42941,1.09727,0.003763,0.003763,0.003763
65,7255.53,0.66302,0.31643,0.88775,0.98213,0.93232,0.9663,0.69672,1.1123,0.43208,1.10199,0.003664,0.003664,0.003664
66,7366.09,0.66142,0.31647,0.88615,0.98263,0.93108,0.96625,0.69975,1.11142,0.42863,1.1027,0.003565,0.003565,0.003565
67,7475.1,0.64304,0.30963,0.88288,0.98193,0.92762,0.965,0.69954,1.10953,0.4295,1.10222,0.003466,0.003466,0.003466
68,7585.94,0.64158,0.30637,0.88044,0.98231,0.92988,0.96489,0.69804,1.11535,0.43154,1.1076,0.003367,0.003367,0.003367
69,7700.66,0.62926,0.30438,0.87486,0.98509,0.92663,0.9646,0.69956,1.11493,0.43133,1.10911,0.003268,0.003268,0.003268
70,7812.6,0.61881,0.29969,0.87304,0.98537,0.92713,0.96466,0.69978,1.11594,0.42861,1.11139,0.003169,0.003169,0.003169
71,7925,0.61592,0.29877,0.87437,0.98763,0.92532,0.966,0.6994,1.11533,0.42433,1.11116,0.00307,0.00307,0.00307
72,8040.17,0.60316,0.29537,0.86791,0.9821,0.92927,0.96546,0.69743,1.11861,0.42812,1.11456,0.002971,0.002971,0.002971
73,8160.48,0.5967,0.2936,0.86761,0.98192,0.9273,0.96537,0.6978,1.11786,0.42824,1.11619,0.002872,0.002872,0.002872
74,8274.08,0.5927,0.29052,0.86711,0.98351,0.92725,0.96602,0.69708,1.11967,0.42982,1.11764,0.002773,0.002773,0.002773
75,8385.51,0.58415,0.28824,0.86252,0.98387,0.9253,0.96508,0.69788,1.12,0.4285,1.11894,0.002674,0.002674,0.002674
76,8499.13,0.57497,0.28392,0.86332,0.98415,0.92785,0.96562,0.69868,1.12186,0.42901,1.11999,0.002575,0.002575,0.002575
77,8617.29,0.56671,0.28241,0.85828,0.98457,0.92561,0.96634,0.70012,1.12203,0.43095,1.12091,0.002476,0.002476,0.002476
78,8730.87,0.55829,0.27879,0.8554,0.98617,0.92561,0.96498,0.69861,1.12291,0.43298,1.12257,0.002377,0.002377,0.002377
